Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,142,Soquete Dip-6,3,B13.1,,,,,,
,143,TL032CP Dip-8,4,B13.2,,,,,,
,144,TL032CP Dip-8,1,B14.1,,,,,,
,145,S87C51FB-4F40 Dip-20,4,B14.2,,,,,,
,146,74HC137D Soic-16,16,B15.1,,,,,,
,147,74HC137N Dip-16,13,B15.1,,,,,,
,148,74HC137 Sop-16,1,B15.1,,,,,,
,149,PIC16F684 Dip-14,1,B15.2,,,,,,
,150,CD74HC137PW (marking code HJ137) Tssop-16,1,B16.1,,,,,,
,151,Diodo Supressor SMD 27v SM6T27CA (Z320),2,B16.2,,,,,,
,152,NE5534 Soic-8,1,B17.1,,,,,,
,153,NC7SZ32M5  Sot-23,1,B17.2,,,,,,
,154,NC7SZ32P5X Sot-23,1,B18.1,,,,,,
,155,Resistor 75R 4116R-1-750 Dip-16,2,B18.2,,,,,,
,156,TLE5205-2GP SMD PG-DSO-20,2,B19.1,,,,,,
,157,Resistor 180R 1/4w,22,B19.2,,,,,,
,158,TS924I Soic-14,1,B20.1,,,,,,
,159,KDV804S-DD-RTK Sot-23,2,B20.2,,,,,,
,160,74F245 Wide-Soic-20,3,B21.1,,,,,,
,161,TIP3055 To-247,3,B21.2,,,,,,
,162,TIP3055 To-220,8,B21.2,,,,,,
,163,2N3055 To-3,4,B21.2,,,,,,
,164,LM2904 Soic-8,5,B22.1,,,,,,
,165,Fusivel Philips 1A 250V,1,B22.2,,,,,,
,166,CM051B Sop-16,3,B23.1,,,,,,
,167,74VHC573 Soic-20,12,B23.2,,,,,,
,168,74VHC573N Dip-20,1,B23.2,,,,,,
,169,TLP251 Dip-8,7,B24.1,,,,,,
,170,BC 807 marking code 5B,9,B24.2,,,,,,
,171,HCPL314   J314 SMD-8,1,B25.1,,,,,,
,172,SN74S158 Dip-16,5,B25.2,,,,,,
,173,1826-0783 Dip-8,1,B26.1,,,,,,
,174,Transistor  850V 30A BUX98P To-247,2,B26.2,,,,,,
,175,BD234 To-126,1,B27.1,,,,,,
,176,MC6802P Dip-40,2,B27.2,,,,,,
,177,SN74S86 Dip-14,2,B28.1,,,,,,
,178,HY6264LP-10 Dip-28,13,B28.2,,,,,,
,179,AD568JQ Dip-14,1,B29.1,,,,,,
,180,IM5623CP Dip-16,2,B29.2,,,,,,
,181,LM239DG Soic-14,0,B30.1,,,,,,
,182,LM239N Dip-16,6,B30.1,,,,,,
,183,AD7523JN Dip-16,1,B30.2,,,,,,
,184,AM9244CP Dip-18,9,B31.1,,,,,,
,185,MPC8S Dip-16,1,B31.2,,,,,,
,186,MC1489 / SN75189 Dip-16,9,B32.1,,,,,,
,187,SN75189 Sop-16,3,B32.1,,,,,,
,188,SN75189 Soic-16,3,B32.1,,,,,,
,189,AM9016EPC Dip-16,14,B32.2,,,,,,
,190,HS9338-2 Dip-28,1,B33.1,,,,,,
,191,"
M8340102K1001G Dip-16",2,B33.2,,,,,,
,192,SN74H102N Dip-14,1,B34.1,,,,,,
,193,AD594AQ Dip-14,4,B34.2,,,,,,
,194,8226 To-92,5,B35.1,,,,,,
,195,761-3-R1K Resistor 1K Dip-16,14,B35.2,,,,,,
,196,2N6292 To-220,1,B36.1,,,,,,
,197,MC14553B Dip-16,1,B36.2,,,,,,
,198,NE531N Dip-8,2,B37.1,,,,,,
,199,RCA541 (0067-02D) Dip-8,2,B37.2,,,,,,
,200,Capacitor Poliester KX472 4700pF 250v,3,B38.1,,,,,,
,201,LP2985IM5-3.3 Sot-23,1,B38.2,,,,,,
,202,BAW92 Sot-23,2,B39.1,,,,,,
,203,TDE1767DP Dip-8,1,B39.2,,,,,,
,204,IL4118 Dip-6,2,B40.1,,,,,,
,205,HCPL-0639 Sop-8,1,B40.2,,,,,,
,206,SN74LS14 Sop-14,7,B41.1,,,,,,
,207,MST7988LA-A-LF PLCC-128,2,B41.2,,,,,,
,208,Capacitor SMD 330uF 35v,13,B42.1,,,,,,
,209,Capacitor Poliester 100nF 275Vac,6,B42.2,,,,,,
,210,PHP18NQ10T127 To-220,2,B43.1,,,,,,
,211,NCP5304 Soic-8,1,B43.2,,,,,,
,212,TLC274 Soic-14,5,B44.1,,,,,,
,213,TLC271 Soic-8,1,B44.2,,,,,,
,214,Bateria CR2030 3V,1,B45.1,,,,,,
,215,T518B To-92,4,B45.2,,,,,,
,216,RFD14N05L D-pak,6,B46.1,,,,,,
,217,Capacitor Poliester 100nF 305Vac,5,B46.2,,,,,,
,218,Diodo Schottky Retificador 60v 5A STPS5L60S  SMD,2,B47.1,,,,,,
,219,Diodo Avalanche 1400V BY268TR,2,B47.2,,,,,,
,220,Capacitor 820uF 180v,1,B48.1,,,,,,
,221,Diodo Supressor 16v 600w SMBJ16CA SMD Bi-Direcional ,4,B48.2,,,,,,
,222,Fusivel 15A 30 x 6,4,C1.1,,,,,,
,223,Fusivel automotivo 35v 15A,2,C1.2,,,,,,
,224,CD4098 Dip-16,3,C2.1,,,,,,
,225,Resistor 470K 1/4w,1,C2.2,,,,,,
,226,Resistor 470K 2w,11,C2.2,,,,,,
,227,Resistor SMD 0603 470K,9,C2.2,,,,,,
,228,Resistor 37R 1/4w,1,C3.1,,,,,,
,229,Resistor 16R 1/4w,3,C3.2,,,,,,
,230,Resistor 30R 1/4w,26,C4.1,,,,,,
,231,Resistor 30R SMD 0805 ,15,C4.1,,,,,,
,232,Resistor 30R1 SMD 1206 ,15,C4.1,,,,,,
,233,Resistor 10M 1/4w,4,C4.2,,,,,,
,234,Resistor 2K7 1/4w,47,C5.1,,,,,,
,235,Resistor  6K8 SMD 0603,3,C5.2,,,,,,
,236,Resistor 6K8 1W,4,C5.2,,,,,,
,237,Resistor 6K8 3w,1,C5.2,,,,,,
,238,Resistor 6K8 1/4w,10,C5.2,,,,,,
,239,Resistor 6K8 25w 3%,1,C5.2,,,,,,
,240,Resistor 5K6 1/4w,11,C6.1,,,,,,
,241,Resistor 5K6 3w,1,C6.1,,,,,,
,242,Resistor  5K6 SMD 0805,45,C6.1,,,,,,
,243,Resistor 5K6 SMD 0603 ,72,C6.1,,,,,,
,244,Resistor  5K6 SMD 0302,49,C6.1,,,,,,
,245,Resistor 820K 1/4w,8,C6.2,,,,,,
,246,Resistor 620K 1/4w,20,C7.1,,,,,,
,247,Resistor 18K 1/4w,9,C7.2,,,,,,
,248,Resistor 18K 4w,1,C7.2,,,,,,
,249,Resistor 20K5 1% 1/4w,13,C8.1,,,,,,
,250,Resistor 22K 1/4w,40,C8.2,,,,,,
,251,Resistor 22K 4w,1,C8.2,,,,,,
,252,Resistor 22K  SMD 0805,8,C8.2,,,,,,
,253,Resistor  22K SMD 0402,54,C8.2,,,,,,
,254,Resistor 22K SMD 0603 ,23,C8.2,,,,,,
,255,Resistor 33K 1/4w,16,C9.1,,,,,,
,256,Resistor 1k6 1/4w,4,C9.2,,,,,,
,257,Resistor 5K 3W,2,C10.1,,,,,,
,258,Resistor 5K SMD 1206 ,9,C10.1,,,,,,
,259,Resistor 5K 1/8w,5,C10.1,,,,,,
,260,Resistor 2k4 1/4w,11,C10.2,,,,,,
,261,Resistor 15K 1/4w,26,C11.1,,,,,,
,262,Resistor 15K 3w,4,C11.1,,,,,,
,263,Resistor 15K 2w,26,C11.1,,,,,,
,264,Resistor SMF315KJ (Resistor filme SMD) 15K,1,C11.1,,,,,,
,265,Resistor 15K 15W,1,C11.1,,,,,,
,266,Resistor 15K 10W (p),1,C11.1,,,,,,
,267,Resistor 15K 1W,4,C11.1,,,,,,
,268,Resistor 91K 1/4w,18,C12.1,,,,,,
,269,Resistor 91K 5W,2,C12.1,,,,,,
,270,Resistor 28K 1/4w 1%,15,C12.2,,,,,,
,271,Resistor 8K2 1/4w,50,C13.1,,,,,,
,272,Resistor 10k 1/4w,22,C13.2,,,,,,
,273,Resistor 10K SMD 1206 ,5,C13.2,,,,,,
,274,Resistor 12K 1/4w,28,C14.1,,,,,,
,275,Resistor 12K 3W,1,C14.1,,,,,,
,276,Resistor 12K 1w,7,C14.1,,,,,,
,277,Resistor  12K SMD 0805,28,C14.1,,,,,,
,278,Resistor 82k 1/4w,9,C14.2,,,,,,
,279,Resistor 13K 1/4w,45,C15.1,,,,,,
,280,Resistor 330K 1/4w,19,C15.2,,,,,,
,281,Resistor 330K 2w,6,C15.2,,,,,,
,282,Resistor 330K 3w ,5,C15.2,,,,,,
,283,Resistor 330K SMD 0603 ,1,C15.2,,,,,,
,284,Resistor 330K SMD 1206 ,2,C15.2,,,,,,
,285,Resistor 3R3 1/4w,16,C16.1,,,,,,
,286,Resistor 3R3 3w,2,C16.1,,,,,,
,287,Resistor 3R3 5w,4,C16.1,,,,,,
,288,Resistor 3R3 SMD 0805,21,C16.1,,,,,,
,289,Resistor 10R 1/4w 1%,3,C16.2,,,,,,
,290,Resistor 10R 1/4w,3,C16.2,,,,,,
,291,Resistor 10R 3w,10,C16.2,,,,,,
,292,Resistor 10R 5w,3,C16.2,,,,,,
,293,Resistor 10R SMD 0805,3,C16.2,,,,,,
,294,Resistor 1R 1/4w,25,C17.1,,,,,,
,295,Resistor 1R SMD 2512,4,C17.1,,,,,,
,296,Resistor 1R SMD 0603,9,C17.1,,,,,,
,297,Resistor 1R 1w,15,C17.1,,,,,,
,298,Resistor 1R 3w,6,C17.1,,,,,,
,299,Resistor 1R 5w,8,C17.1,,,,,,
,300,Resistor 1R Mini Melf 1206,8,C17.1,,,,,,
,301,Resistor 7K5 1/4w,15,C17.2,,,,,,
,302,Resistor 7K5 10w,1,C17.2,,,,,,
,303,Resistor 5R  3w,1,C18.1,,,,,,
,304,Resistor 5R1 1/4w,8,C18.2,,,,,,
,305,Resistor 5R1 SMD 1206 ,27,C18.2,,,,,,
,306,Resistor 30K 1/4w,11,C19.1,,,,,,
,307,Resistor 30K SMD 2326,16,C19.1,,,,,,
,308,Resistor 20K 1/4w,5,C19.2,,,,,,
,309,Resistor 20K  SMD 1206 ,12,C19.2,,,,,,
,310,Resistor 210K 1/4w  1%,3,C20.1,,,,,,
,311,Resistor 43K 1/4w,3,C20.2,,,,,,
,312,Resistor 4K7 1/4w,14,C21.1,,,,,,
,313,Resistor 4K7 5w,1,C21.1,,,,,,
,314,Resistor 4K7 3w,1,C21.1,,,,,,
,315,Resistor 4K7 SMD 1206,8,"C21,1",,,,,,
,316,Resistor 4K7 SMD 0805,5,C21.1,,,,,,
,317,Resistor 4K7  SMD 1812,5,C21.1,,,,,,
,318,Resistor 4K7  1/4w 1%,12,C21.1,,,,,,
,319,Resistor 4K7 1/8w,1,C21.1,,,,,,
,320,Resistor 390R 1/4w,8,C21.2,,,,,,
,321,Resistor 750k 1/4w,14,C22.1,,,,,,
,322,Resistor 750K SMD 0805,10,C22.1,,,,,,
,323,Resistor 1K 1/4w,13,C22.2,,,,,,
,324,Resistor 1K SMD 0805,5,C22.2,,,,,,
,325,"Resistor 1K095 0,5%",15,C22.2,,,,,,
,326,Resistor 1K5 1/4w,18,C23.1,,,,,,
,327,Resistor 1K5 1/2w,5,C23.1,,,,,,
,328,Resistor 24K 1/4w,15,C23.2,,,,,,
,329,Resistor 24K9 1% 1/4w,50,C23.2,,,,,,
,330,Resistor 24K 1/8w,10,C23.2,,,,,,
,331,Resistor 510K 1/4w,12,C24.1,,,,,,
,332,Resistor 5M6 1/4w,10,C24.2,,,,,,
,333,Resistor 2R2 1/4w,23,C25.1,,,,,,
,334,Resistor 2R2 1w,4,C25.1,,,,,,
,335,Resistor 2R2 3w,2,C25.1,,,,,,
,336,Resistor 2R2 5w,22,C25.1,,,,,,
,337,Resistor 2R2 SMD 1206,1,C25.1,,,,,,
,338,Resistor 2R Sod-80,8,C25.1,,,,,,
,339,Resistor 57k8 1/4w 1%,16,C25.2,,,,,,
,340,Resistor 220K 1/4,15,C26.1,,,,,,
,341,Resistor 2M2 1/4w,16,C26.2,,,,,,
,342,Resistor 2K4 1/4w,10,C27.1,,,,,,
,343,Resistor 3M3 1/4w,19,C27.2,,,,,,
,344,Resistor 1M8 1/4w 1%,17,C28.1,,,,,,
,345,Resistor 100K 1/4w,55,C28.2,,,,,,
,346,Resistor 100K 1w,9,C28.2,,,,,,
,347,Resistor 100K 2w,5,C28.2,,,,,,
,348,Resistor 100K 5w,2,C28.2,,,,,,
,349,Resistor 100K SMD 1206,15,C28.2,,,,,,
,350,Resistor 330R 1/4w,7,C29.1,,,,,,
,351,Resistor 330R Rede Resistiva 8P,1,C29.1,,,,,,
,352,Resistor 330R SMD 1206,2,C29.1,,,,,,
,353,Resistor 330R 5w,5,C29.1,,,,,,
,354,Resistor 680R 1/4w,21,C29.2,,,,,,
,355,Resistor 680R 5w,4,C29.2,,,,,,
,356,Resistor 180K 1/4w,46,C30.1,,,,,,
,357,Resistor 68k 1/4w,4,C30.2,,,,,,
,358,Resistor 68K SMD 1206,4,C30.2,,,,,,
,359,Resistor 150R 1/4w,13,C31.1,,,,,,
,360,Resistor 150R 1/2w,14,C31.1,,,,,,
,361,Resistor 150R 1w,25,C31.1,,,,,,
,362,Resistor 150R 2w,4,C31.1,,,,,,
,363,Resistor 150R 3w,5,C31.1,,,,,,
,364,Resistor 150R SMD 0805,6,C31.1,,,,,,
,365,Resistor 3K9 1/4w,25,C31.2,,,,,,
,366,Resistor 220R 1/4w,66,C32.1,,,,,,
,367,Resistor 220R 3W,6,C32.1,,,,,,
,368,Resistor 220R 5w,1,C32.1,,,,,,
,369,Resistor 220R 5w Ceramico,1,C32.1,,,,,,
,370,Resistor 1R5 1/4w,21,C32.2,,,,,,
,371,Resistor 1R5 1w,25,C32.2,,,,,,
,372,Resistor,1,C32.2,,,,,,
,373,Resistor 1R5 SMD 1206,10,C32.2,,,,,,
,374,Resistor 33R 1/4w,17,C33.1,,,,,,
,375,Resistor 33R 2w,7,C33.1,,,,,,
,376,Resistor 33R SMD 1206,4,C33.1,,,,,,
,377,Resistor 33R2 SMD 1206,13,C33.1,,,,,,
,378,Resistor 39R 1/4w,10,C33.2,,,,,,
,379,Resistor 39R 1/4w 1%,6,C33.2,,,,,,
,380,Resistor 39R 3w,1,C33.2,,,,,,
,381,Resistor 39R SMD 0805,2,C33.2,,,,,,
,382,Resistor R22 1/8w,3,C34.1,,,,,,
,383,Resistor R22 2w,3,C34.1,,,,,,
,384,Resistor R22 3w,3,"C34,1",,,,,,
,385,Resistor R27 5w,1,C34.1,,,,,,
,386,Resistor 5R6 1/4w,7,C34.2,,,,,,
,387,Resistor 5R6 3w,49,C34.2,,,,,,
,388,Resistor 56k 1/4w,13,C35.1,,,,,,
,389,Clipe p/ bateria,1,C35.2,,,,,,
,390,Resistor 22R 1/4w,33,C36.1,,,,,,
,391,Resistor 22R 1w,23,C36.1,,,,,,
,392,Resistor 22R 2w,10,C36.1,,,,,,
,393,Resistor 22R 5w,2,C36.1,,,,,,
,394,Resistor 22R 20w,2,C36.1,,,,,,
,395,Resistor 22R SMD 0806,9,C36.1,,,,,,
,396,Resistor 22R SMD 2512,8,C36.1,,,,,,
,397,Fusivel Vidro Rapido 2A 6mm x 30mm,14,C37.1,,,,,,
,398,Fusivel 2A 5mm 20mm,7,C37.1,,,,,,
,399,Fusivel 2A SMD,1,C37.1,,,,,,
,400,Resistor  R11 1/4w,2,C37.2,,,,,,
,401,Resistor 18R SMD 0805,43,C38.1,,,,,,
,402,Resistor 18R SMD 1206,3,C38.1,,,,,,
,403,Resistor 3K3 1/2w,1,C38.2,,,,,,
,404,Resistor 3K3 1/4w 1%,2,C38.2,,,,,,
,405,Resistor 100R 1/4w,2,C39.1,,,,,,
,406,Resistor 100R 2w,12,C39.1,,,,,,
,407,Resistor 100R 3w,4,C39.1,,,,,,
,408,Resistor 100R 5w,13,C39.1,,,,,,
,409,Resistor 100R SMD 1206,13,C39.1,,,,,,
,410,Resistor 15R 1/4w,9,C39.2,,,,,,
,411,Resistor 15R 2w,3,C39.2,,,,,,
,412,Resistor 15R 5w,4,C39.2,,,,,,
,413,Resistor 15R 3w,2,C39.2,,,,,,
,414,Resistor 56R 1/4w,10,C40.1,,,,,,
,415,Resistor 56R 1/2w,10,C40.1,,,,,,
,416,Resistor 56R 2w,2,C40.1,,,,,,
,417,Resistor 56R 3w,2,C40.1,,,,,,
,418,Resistor 56R 5w,1,C40.1,,,,,,
,419,Resistor 56R 10w,2,C40.1,,,,,,
,420,Capacitor Poliester 1000pF 100V,1,C41.1,,,,,,
,421,IRFP064N  T0-247AC,1,C41.2,,,,,,
,422,CD4047 Dip-14,6,C42.1,,,,,,
,423,CD4047 Soic-14,8,C42.1,,,,,,
,424,Resistor R36 2W,1,C42.2,,,,,,
,425,Diodo Supressor 1.5KE440A Uni.Direcional,2,C43.1,,,,,,
,426,Capacitor 22uF 200v,5,C43.1,,,,,,
,427,Capacitor 1800uF 10v,5,C44.1,,,,,,
,428,ISP825 Dip-8,2,C44.2,,,,,,
,429,BC817 SMD 6B (pode usar o BC847) marking code 6AW,28,C45.1,,,,,,
,430,C106BG To-126,1,C45.2,,,,,,
,431,D431000ACZ-70L Dip-32,2,C46.1,,,,,,
,432,BCX41E6327 Sot-23,5,C46.2,,,,,,
,433,L6561D Soic-8,2,C47.1,,,,,,
,434,L6561 Dip-8,2,C47.1,,,,,,
,435,Diodo Super Retificador 1600v 1A GP10Y,2,C47.2,,,,,,
,436, Ponte retificadora 600v RMB6S ,0,C48.1,,,,,,
,437,SN74HC148N Dip-16,19,C48.2,,,,,,
,438,93C46  SOIC-8,12,D1.1,,,,,,
,439,93C46B Dip-8,7,D1.1,,,,,,
,440,BC549B To-92,9,D1.2,,,,,,
,441,MPF102 To-92,6,D2.1,,,,,,
,442,BCX5316TA  Sot-89 (marking code AL),3,D2.2,,,,,,
,443,BSS100 To-92,1,D3.1,,,,,,
,444,BSS100 Sot-23,1,D3.1,,,,,,
,445,2N5062 To-92,1,D3.2,,,,,,
,446,Mosfet 50V 13A BUZ71A To-220,8,D4.1,,,,,,
,447,IGBT 1200V 32A BUP313 To-247,2,D4.2,,,,,,
,448,SP690ACP Dip-8,1,D5.1,,,,,,
,449,BD140 To-126,6,D5.2,,,,,,
,450,IRFD110 Dip-4,1,D6.1,,,,,,
,451,Diodo Zener 5v1 5w 1N5338B,7,D6.2,,,,,,
,452,PC929 So-14,9,D7.1,,,,,,
,453,SN74ALS1005N Dip-14,1,D7.2,,,,,,
,454,LM3578 Dip-8,1,D8.1,,,,,,
,455,MC14526BCP Dip-16,2,D8.2,,,,,,
,456,NC7SZ32P5X Sc-74A,4,D9.1,,,,,,
